CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
ZY640000207108,1,1562
ZY640000207108,1,494
ZY640000207108,1,378
ZY640000207108,1,2477
ZY640000207108,1,1096
ZY640000207108,2,1562
ZY640000207108,2,494
ZY640000207108,2,378
ZY640000207108,2,2477
ZY640000207108,2,1096
ZY640000207108,3,1562
ZY640000207108,3,494
ZY640000207108,3,378
ZY640000207108,3,2477
ZY640000207108,3,1096
ZY640000207108,4,1562
ZY640000207108,4,494
ZY640000207108,4,378
ZY640000207108,4,2477
ZY640000207108,4,1096
ZY640000207108,5,1562
ZY640000207108,5,494
ZY640000207108,5,378
ZY640000207108,5,2477
ZY640000207108,5,1096
ZY640000207108,6,1562
ZY640000207108,6,2671
ZY640000207108,6,2045
ZY640000207108,6,933
ZY640000207108,6,1728
ZY640000207108,6,494
ZY640000207108,6,378
ZY640000207108,6,2477
ZY640000207108,6,1096
ZY640000207108,7,1562
ZY640000207108,7,494
ZY640000207108,7,378
ZY640000207108,7,2477
ZY640000207108,7,1096
ZY160000206809,1,1864
ZY160000206809,1,2383
ZY160000206809,1,1502
ZY160000206809,1,2383
ZY160000206809,1,425
ZY160000206809,1,494
ZY160000206809,1,378
ZY160000206809,1,1055
ZY160000206809,1,2533
ZY160000206809,1,335
ZY160000206809,1,1846
ZY160000206809,1,1171
ZY160000206809,1,2035
ZY160000206809,1,51
ZY160000206809,1,2317
ZY160000206809,1,2001
ZY160000206809,1,1644
ZY160000206809,1,507
ZY160000206809,1,2144
ZY160000206809,1,347
ZY160000206809,1,1338
ZY160000206809,1,2596
ZY160000206809,1,2629
ZY160000206809,1,2483
ZY160000206809,1,1384
ZY160000206809,1,2970
ZY160000206809,2,494
ZY160000206809,2,378
ZY160000206809,3,494
ZY160000206809,3,378
ZY160000206809,4,2676
ZY160000206809,4,1597
ZY160000206809,4,1597
ZY160000206809,4,1177
ZY160000206809,4,494
ZY160000206809,4,378
ZY160000206809,5,494
ZY160000206809,5,378
ZY160000206809,6,494
ZY160000206809,6,378
ZY160000206809,7,1011
ZY160000206809,7,1728
ZY160000206809,7,494
ZY160000206809,7,378
ZY070000140228,1,378
ZY070000140228,1,494
ZY070000140228,1,1055
ZY070000140228,1,2533
ZY070000140228,1,431
ZY070000140228,1,2603
ZY070000140228,1,2001
ZY070000140228,1,648
ZY070000140228,1,335
ZY070000140228,1,1000
ZY070000140228,1,733
ZY070000140228,1,1171
ZY070000140228,1,916
ZY070000140228,2,378
ZY070000140228,2,494
ZY070000140228,3,378
ZY070000140228,3,494
ZY070000140228,4,378
ZY070000140228,4,494
ZY070000140228,4,1382
ZY070000140228,4,1597
ZY070000140228,4,1754
ZY070000140228,4,2671
ZY070000140228,4,150
ZY070000140228,4,286
ZY070000140228,5,378
ZY070000140228,5,363
ZY070000140228,5,928
ZY070000140228,5,805
ZY070000140228,5,2164
ZY070000140228,5,802
ZY070000140228,5,1764
ZY070000140228,5,494
ZY070000140228,5,1382
ZY070000140228,5,1597
ZY070000140228,5,1754
ZY070000140228,5,2671
ZY070000140228,5,150
ZY070000140228,5,286
ZY070000140228,5,2671
ZY070000140228,5,105
ZY070000140228,5,1597
ZY070000140228,5,1838
ZY070000140228,5,1576
ZY070000140228,5,1597
ZY070000140228,5,1576
ZY070000140228,5,1597
ZY070000140228,5,837
ZY070000140228,5,1597
ZY070000140228,5,1488
ZY070000140228,5,1597
ZY070000140228,6,378
ZY070000140228,6,805
ZY070000140228,6,2164
ZY070000140228,6,1764
ZY070000140228,6,494
ZY070000140228,6,1382
ZY070000140228,6,1597
ZY070000140228,6,1754
ZY070000140228,6,2671
ZY070000140228,6,150
ZY070000140228,6,286
ZY070000140228,6,2671
ZY070000140228,6,105
ZY070000140228,6,1597
ZY070000140228,6,1838
ZY070000140228,6,1576
